"Abbreviation"	"Reaction"	"Description"
"R13328"	"C04006[c] + C00269[c] <=> C04549[c] + C00055[c]"	"X"
"R09404"	"C06800[c] + C00007[c] + C00005[c] + C00080[c] <=> C19585[c] + C00001[c] + C00006[c]"	"X"
"R10884"	"C05539[c] <=> C20911[c]"	"X"
"R08759"	"C05446[c] <=> C01301[c]"	"X"
"R09953"	"C06153[c] + C00003[c] <=> C00691[c] + C00004[c] + C00080[c]"	"scyllo-inositol:NAD+ oxidoreductase"
"R01242"	"C00053[c] + C15584[c] <=> C00054[c] + C00850[c]"	"3'-phosphoadenylylsulfate:phenol sulfotransferase"
"R11042"	"C21071[c] <=> C11921[c]"	"X"
"R12610"	"C22278[c] <=> C03394[c] + C00011[c]"	"3-oxoisoapionate 4-phosphate carboxy-lyase"
"R08550"	"C16832[c] + C00003[c] <=> C16237[c] + C00004[c] + C00080[c]"	"protein N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase"
"R12507"	"C00064[c] + C01180[c] <=> C00940[c] + C00073[c]"	"L-glutamine:4-(methylsulfanyl)-2-oxobutanoate aminotransferase"
"R03104"	"C05823[c] + C00003[c] <=> C00957[c] + C00004[c] + C00080[c]"	"3-mercaptolactate:NAD+ oxidoreductase"
"R03265"	"C01126[c] <=> C03220[c]"	"(2E,6E)-farnesol 2-cis-trans-isomerase"
"R12535"	"C05629[c] + C04253[c] <=> C00423[c] + C04570[c]"	"3-(phenyl)propanoate:electron-transfer flavoprotein 2,3-oxidoreductase"
"R11981"	"C18226[c] + 3 C03024[c] + 3 C00007[c] <=> C21826[c] + 3 C03161[c] + 4 C00001[c]"	"ent-cassa-12,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (ent-3beta-hydroxycassa-12,15-dien-2-one forming)"
"R02281"	"C01371[c] + 2 C00340[c] + C00007[c] + 2 C00080[c] <=> 2 C00435[c] + C00226[c] + C00001[c]"	"alkane,reduced-rubredoxin:oxygen 1-oxidoreductase"
"R07306"	"C00044[c] + 3 C00001[c] <=> C15563[c] + 2 C00009[c]"	"GTP 8,9-hydrolase (phosphate-forming)"
"R13258"	"C20683[c] + C01209[c] <=> C22858[c] + C00011[c] + C00229[c]"	"long-chain-acyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)"
"R00233"	"C00083[c] <=> C00024[c] + C00011[c]"	"malonyl-CoA carboxy-lyase (acetyl-CoA-forming)"
"R12434"	"C00002[c] + C02147[c] <=> C22161[c] + C00013[c]"	"X"
"R12701"	"C22341[c] + 2 C00024[c] <=> C22342[c] + 2 C00010[c]"	"X"
"R00022"	"C01674[c] + C00001[c] <=> 2 C00140[c]"	"chitobiose N-acetylglucosaminohydrolase"
"R05470"	"C06660[c] <=> C06661[c]"	"X"
"R01248"	"C00148[c] + C00003[c] <=> C03912[c] + C00004[c] + C00080[c]"	"L-proline:NAD+ 5-oxidoreductase"
"R08867"	"C06456[c] + C00063[c] <=> C17945[c] + C00013[c]"	"CTP:phosphonoformate cytidylyltransferase"
"R06037"	"G10616[c] + G00067[c] <=> G10621[c] + G00088[c]"	"X"
"R04706"	"C05194[c] + C00007[c] + C00080[c] <=> C06327[c] + C00027[c]"	"dihydrochelirubine:oxygen oxidoreductase"
"R11703"	"C00096[c] + C21606[c] <=> C00035[c] + C21607[c]"	"GDP-alpha-D-mannose:2-O-alpha-D-mannosyl-1-phosphatidyl-1D-myo-inositol 6-alpha-D-mannosyltransferase (configuration-retaining)"
"R01635"	"C03233[c] <=> C00230[c] + C00011[c]"	"4,5-dihydroxyphthalate carboxy-lyase (3,4-dihydroxybenzoate-forming)"
"R00015"	"2 C00089[c] <=> C00031[c] + C03661[c]"	"sucrose:sucrose 1'-beta-D-fructosyltransferase;"
"R12724"	"C22344[c] + C00019[c] <=> C22345[c] + C00011[c] + C05198[c] + C00073[c]"	"C-terminal [mycofactocin precursor peptide]-glycyl-L-valyl-L-tyrosine L-tyrosine-carboxylyase"
"R08762"	"2 C01987[c] + C00007[c] <=> 2 C17500[c] + 2 C00001[c]"	"2-aminophenol:oxygen oxidoreductase"
"R11355"	"C20143[c] + 2 C00138[c] + 2 C00080[c] + C00007[c] <=> C21304[c] + 2 C00139[c] + 2 C00001[c]"	"X"
"R11830"	"C00448[c] <=> C21685[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (1R,4R,5S)-(-)-guaia-6,10(14)-diene-forming]"
"R10134"	"C20383[c] + C00001[c] <=> C20380[c] + C00191[c]"	"mycophenolic acid O-acyl-glucuronide-ester hydrolase"
"R08856"	"C00043[c] + C17556[c] <=> C01289[c] + C00105[c]"	"UDP-N-acetyl-D-glucosamine:undecaprenyl-phosphate N-acetyl-D-glucosamine phosphotransferase"
"R10438"	"C00283[c] + C00006[c] <=> C00087[c] + C00005[c] + C00080[c]"	"hydrogen sulfide:NADP+ oxidoreductase (CoA-dependent)"
"R12976"	"C01132[c] + C00007[c] <=> C22489[c] + C00027[c]"	"X"
"R00100"	"C00004[c] + 2 C00996[c] <=> C00003[c] + 2 C00999[c] + C00080[c]"	"NADH:ferricytochrome-b5 oxidoreductase"
"R08513"	"C03758[c] <=> C16704[c]"	"X"
"R09571"	"C19704[c] + C00007[c] <=> C19705[c] + C00001[c] + C00205[c]"	"dinoflagellate-luciferin:oxygen 13-oxidoreductase"
"R06307"	"C11895[c] + C00024[c] <=> C11896[c] + C00010[c]"	"acetyl-CoA:taxa-4(20),11-dien-5alpha-ol O-acetyltransferase"
"R04277"	"C03671[c] + C00001[c] <=> C04434[c]"	"2-pyrone-4,6-dicarboxylate lactonohydrolase"
"R09077"	"C00315[c] + C00007[c] + C00001[c] <=> C00134[c] + C05665[c] + C00027[c]"	"spermidine:oxygen oxidoreductase (3-aminopropanal-forming)"
"R02985"	"C00844[c] + C00031[c] <=> C08325[c] + C00001[c]"	"amygdalin beta-glucosidase"
"R05779"	"C11526[c] + C00001[c] <=> C01204[c] + C00009[c]"	"5-diphosphoinositol pentakisphosphate diphosphohydrolase"
"R07206"	"C03990[c] + C03024[c] + C00007[c] <=> C15517[c] + C03161[c] + C00001[c]"	"lithocholate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (6alpha-hydroxylating)"
"R09586"	"C05942[c] + C00004[c] + C00080[c] + C00007[c] <=> C19721[c] + C00003[c] + C00001[c]"	"pyrrole-2-carboxylate,NADH:oxygen oxidoreductase (5-hydroxylating)"
"R05626"	"C00002[c] + C17558[c] <=> C00008[c] + C17556[c]"	"ATP:undecaprenol phosphotransferase"
"R03581"	"C01500[c] + C00006[c] <=> C01499[c] + C00005[c] + C00080[c]"	"geraniol:NADP+ oxidoreductase"
"R01180"	"C01989[c] + C00010[c] <=> C00136[c] + C00001[c] + C00048[c]"	"butanoyl-CoA:glyoxylate C-butanoyltransferase (thioester-hydrolysing, 1-carboxypropyl-forming);"
"R06808"	"C05903[c] + C00052[c] <=> C12626[c] + C00015[c]"	"UDP-alpha-D-galactose:kaempferol 3-O-beta-D-galactosyltransferase"
"R06910"	"C14083[c] + C00003[c] <=> C14084[c] + C00004[c] + C00080[c]"	"cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase"
"R09979"	"C18026[c] <=> C20238[c]"	"(2S)-ethylmalonyl-CoA epimerase"
"R00470"	"C01127[c] <=> C00022[c] + C00048[c]"	"4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)"
"R04599"	"C06047[c] + C00005[c] + C00080[c] <=> C04796[c] + C00006[c]"	"3,4-dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (recyclizing)"
"R02794"	"C00002[c] + C00695[c] + C00010[c] <=> C00020[c] + C00013[c] + C01794[c]"	"cholate:CoA ligase (AMP-forming)"
"R01850"	"C00024[c] + C00283[c] <=> C00010[c] + C01857[c]"	"acetyl-CoA:hydrogen-sulfide S-acetyltransferase"
"R13341"	"C22931[c] <=> C09084[c]"	"X"
"R07922"	"C00019[c] + C16353[c] <=> C00021[c] + C13747[c]"	"X"
"R05765"	"C00341[c] <=> C06308[c] + C00013[c]"	"geranyl-diphosphate diphosphate-lyase [cyclizing, (-)-alpha-pinene-forming]"
"R10611"	"C00019[c] + C20691[c] <=> C00170[c] + C20652[c]"	"S-adenosyl-L-methionine:tRNA(Phe) (4-demethylwyosine37-C7)-[(3S)-3-amino-3-carboxypropyl]transferase"
"R06169"	"G10609[c] + G00037[c] <=> G10619[c] + G00038[c]"	"X"
"R03849"	"C05498[c] + C03024[c] + C00007[c] <=> C02140[c] + C03161[c] + C00001[c]"	"11beta-hydroxyprogesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (21-hydroxylating)"
"R06143"	"G10530[c] + C00001[c] <=> C03789[c] + C00191[c]"	"X"
"R02838"	"C05497[c] + C03024[c] + C00007[c] <=> C00735[c] + C03161[c] + C00001[c]"	"21-deoxycortisol,NADPH-hemoprotein reductase:oxygen oxidoreductase (21-hydroxylating)"
"R00383"	"C00040[c] + C00001[c] <=> C00010[c] + C00060[c]"	"acyl-CoA hydrolase"
"R04451"	"C00043[c] + C04300[c] <=> C00015[c] + C04806[c]"	"UDP-N-acetyl-D-glucosamine:estradiol-17alpha-3-D-glucuronoside 17alpha-N-acetylglucosaminyltransferase"
"R00804"	"C00934[c] + C00001[c] <=> C11477[c] + C00009[c]"	"sugar-phosphate phosphohydrolase"
"R03900"	"C05669[c] + C00006[c] <=> C02231[c] + C00005[c] + C00080[c]"	"3-nitropropanoate:NADP+ oxidoreductase"
"R02628"	"C00074[c] + C00615[c] <=> C00022[c] + C04261[c]"	"phosphoenolpyruvate:protein-L-histidine N-pros-phosphotransferase"
"R07732"	"C16222[c] <=> C10509[c]"	"X"
"R04985"	"C05807[c] + C00011[c] <=> C05848[c]"	"4-hydroxy-3-polyprenylbenzoate carboxy-lyase"
"R11651"	"C21535[c] + C03024[c] + C00007[c] <=> C21538[c] + C03161[c] + C00001[c]"	"X"
"R12167"	"C00510[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C21935[c] + 2 C00996[c] + 2 C00001[c]"	"oleoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (6,7 cis-dehydrogenating)"
"R08778"	"2 C02412[c] + C17542[c] <=> 2 C01642[c] + C05895[c]"	"glycyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine glycyltransferase"
"R01265"	"C00151[c] <=> C00405[c]"	"amino-acid racemase"
"R06724"	"C06366[c] <=> C12440[c]"	"X"
"R09599"	"C19724[c] + C00064[c] + C00002[c] + C00001[c] <=> C06504[c] + C00025[c] + C00008[c] + C00009[c]"	"X"
"R09306"	"C18353[c] + C00005[c] + C00080[c] <=> C18354[c] + C00006[c]"	"X"
"R04958"	"C05752[c] + C00003[c] <=> C05751[c] + C00004[c] + C00080[c]"	"octanoyl-[acp]:NAD+ trans-2-oxidoreductase"
"R06069"	"G10495[c] + 1 C00031[c] <=> 1 G00275[c]"	"1,4-alpha-D-glucan:1,4-alpha-D-glucan 4-alpha-D-glycosyltransferase"
"R03237"	"C00063[c] + C01097[c] <=> C00112[c] + C03785[c]"	"CTP:D-tagatose 6-phosphate 1-phosphotransferase"
"R00689"	"C00079[c] + C00001[c] + C00007[c] <=> C00166[c] + C00014[c] + C00027[c]"	"L-phenylalanine:oxygen oxidoreductase (deaminating)"
"R06162"	"G10615[c] + G00042[c] <=> G10620[c] + G00043[c]"	"X"
"R12357"	"C22103[c] + C00004[c] + C00080[c] + C00007[c] <=> C22104[c] + C00003[c] + C00001[c]"	"3beta-hydroxy-4,4-dimethylsteroid,NADH:oxygen oxidoreductase"
"R11459"	"C01561[c] + C00007[c] + 2 C00138[c] + 2 C00080[c] <=> C01673[c] + 2 C00139[c] + C00001[c]"	"X"
"R00484"	"C00438[c] + C00001[c] <=> C00049[c] + C00011[c] + C00014[c]"	"N-carbamoyl-L-aspartate amidohydrolase"
"R04156"	"C03185[c] + C00001[c] <=> C03186[c] + C00009[c]"	"[glycogen-synthase D] phosphohydrolase"
"R02550"	"C00556[c] + 2 C00139[c] + C00001[c] <=> C01455[c] + C00007[c] + 2 C00138[c] + 2 C00080[c]"	"toluene,ferredoxin:oxygen oxidoreductase (methyl-hydroxylating);"
"R01154"	"C00024[c] + C00134[c] <=> C00010[c] + C02714[c]"	"acetyl-CoA:putrescine N-acetyltransferase"
"R12359"	"C22105[c] + C00004[c] + C00080[c] + C00007[c] <=> C22106[c] + C00003[c] + C00001[c]"	"3beta-hydroxy-4beta-formyl-4alpha-methylsteroid,NADH:oxygen oxidoreductase"
"R13188"	"C00002[c] + C02189[c] <=> C00008[c] + C22692[c]"	"ATP:[protein]-L-serine O-phosphotransferase"
"R02828"	"C03620[c] <=> C00726[c] + C00001[c]"	"monocarboxylic acid amide hydro-lyase"
"R10869"	"C00053[c] + C00634[c] <=> C00054[c] + C20907[c]"	"3'-phospho-5'-adenylyl sulfate:[chondroitin]-4-O-sulfo-N-acetyl-D-galactosamine 6-O-sulfotransferase"
"R00123"	"C00008[c] + C00001[c] <=> C00104[c] + C00014[c]"	"ADP aminohydrolase"
"R10238"	"5 C00083[c] <=> 5 C00010[c] + C20462[c] + 5 C00011[c] + C00001[c]"	"malonyl-CoA:malonyl-CoA malonyltransferase (5,7-dihydroxy-2-methyl-4H-chromen-4-one-forming)"
"R11599"	"C00052[c] + C01289[c] <=> C00015[c] + C21493[c]"	"UDP-alpha-D-galactose:N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-galactosyltransferase (configuration-retaining)"
"R05559"	"C06552[c] + C00001[c] <=> C06553[c] + C00797[c]"	"4-(ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine ethylaminohydrolase"
"R05213"	"C00019[c] + C06517[c] <=> C00021[c] + C06518[c]"	"S-adenosyl-L-methionine:6-O-methylnorlaudanosoline 5'-O-methyltransferase"
"R01859"	"C00002[c] + C00100[c] + C00288[c] <=> C00008[c] + C00009[c] + C00683[c]"	"propanoyl-CoA:carbon-dioxide ligase (ADP-forming)"
"R02599"	"C00063[c] + C00591[c] <=> C00013[c] + C01064[c]"	"CTP:N-acylneuraminate cytidylyltransferase"
"R10429"	"C20655[c] + C00006[c] <=> C20616[c] + C00005[c] + C00080[c]"	"an aldopyranose:NADP+ 1-oxidoreductase"
"R04695"	"C05178[c] + C00006[c] <=> C06167[c] + C00005[c]"	"(R)-reticuline:NADP+ oxidoreductase"
"R07300"	"C01029[c] + C00001[c] <=> C00033[c] + C00315[c]"	"N8-acetylspermidine amidohydrolase"
"R04480"	"C00350[c] + C00010[c] <=> C04438[c] + C00040[c]"	"acyl-CoA:1-acyl-sn-glycero-3-phosphoethanolamine O-acyltransferase"
"R04250"	"C03557[c] <=> C05679[c]"	"X"
"R04700"	"C06163[c] + C03024[c] + C00007[c] <=> C05189[c] + C03161[c] + C00001[c]"	"(S)-cis-N-methylstylopine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (14-hydroxylating)"
"R06273"	"G10616[c] + G04854[c] <=> G10621[c] + G04461[c]"	"X"
"R11318"	"G10615[c] + G10770[c] <=> G10620[c] + G05477[c]"	"X"
"R05619"	"C09823[c] + C00028[c] <=> C09811[c] + C00030[c]"	"X"
"R06409"	"C11944[c] + C00002[c] + C00010[c] <=> C11946[c] + C00020[c] + C00013[c]"	"cis-2-methyl-5-isopropylhexa-2,5-dienoate-CoA ligase"
"R06562"	"C02920[c] + C00005[c] + C00080[c] <=> C00786[c] + C00006[c]"	"vestitone:NADP+ oxidoreductase"
"R07397"	"C00043[c] + C04903[c] <=> C00015[c] + C15656[c]"	"UDP-N-acetyl-D-glucosamine:beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl-proteoglycan;"
"R05518"	"C11907[c] <=> C06620[c] + C00001[c]"	"dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose hydro-lyase (dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose-forming)"
"R12870"	"1 G10610[c] + G13173[c] <=> 1 G10619[c] + G13174[c]"	"X"
"R11462"	"C21400[c] + C03264[c] <=> C21399[c] + C21089[c]"	"4-methylpentanoyl-CoA:(R)-2-hydroxy-4-methylpentanoate CoA-transferase"
"R00438"	"C00046[c] + C00009[c] <=> C00046[c] + C00015[c]"	"polyribonucleotide:phosphate uridylyltransferase"
"R00597"	"C00019[c] + C01977[c] <=> C00021[c] + C04157[c]"	"S-adenosyl-L-methionine:tRNA guanine N1-methyltransferase;"
"R06059"	"G10497[c] + G00370[c] <=> G10497[c] + C00031[c]"	"sucrose:2,1-beta-D-fructan 1-beta-D-fructosyltransferase"
"R11351"	"C14448[c] + C00001[c] + C00007[c] <=> C00048[c] + C00027[c]"	"glyoxal:oxygen oxidoreductase"
"R13159"	"C22658[c] + C00190[c] <=> C22660[c] + C00015[c]"	"X"
"R08790"	"C02105[c] + C03024[c] + C00007[c] <=> C17591[c] + C03161[c] + 2 C00001[c]"	"(S)-reticuline,NADPH:oxygen oxidoreductase (C-C phenol-coupling; (S)-corytuberine-forming)"
"R09158"	"C11150[c] <=> C00011[c]"	"X"
"R00018"	"2 C00134[c] <=> C06366[c] + C00014[c]"	"putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"
"R00207"	"C00022[c] + C00009[c] + C00007[c] <=> C00227[c] + C00027[c] + C00011[c]"	"pyruvate:oxygen 2-oxidoreductase (phosphorylating)"
"R13176"	"C00005[c] + C00003[c] + C00080[c] <=> C00006[c] + C00004[c] + C00080[c]"	"NADPH:NAD+ oxidoreductase (H+-transporting)"
"R12002"	"C21284[c] + 2 C00019[c] <=> C00032[c] + 2 C00011[c] + 2 C05198[c] + 2 C00073[c]"	"Fe-coproporphyrin III:S-adenosyl-L-methionine oxidoreductase (decarboxylating)"
"R11299"	"C21268[c] + C00025[c] <=> C17705[c] + C00026[c]"	"antibiotic-JI-20B:2-oxoglutarate aminotransferase"
"R12633"	"C00008[c] + C00404[c] <=> C00020[c] + C00404[c]"	"ADP:polyphosphate phosphotransferase"
"R02982"	"C00019[c] + C00841[c] <=> C00021[c] + C01864[c]"	"S-adenosyl-L-methionine:xanthotoxol O-methyltransferase"
"R05263"	"C06588[c] + C00007[c] + C00004[c] + C00080[c] <=> C06589[c] + C00003[c]"	"biphenyl,NADH2:oxygen oxidoreductase (2,3-hydroxylating)"
"R10422"	"C03072[c] + C00003[c] <=> C01876[c] + C00004[c] + C00080[c]"	"3alpha-hydroxysteroid:NAD+ 3-oxidoreductase"
"R02381"	"C00933[c] + C00001[c] <=> C00482[c] + C00114[c]"	"sinapoylcholine sinapohydrolase"
"R05885"	"C11643[c] + C00019[c] <=> C11675[c] + C00021[c] + C00080[c]"	"S-adenosyl-L-methionine:16-hydroxytabersonine 16-O-methyltransferase"
"R08010"	"2 C16408[c] + C00007[c] <=> 2 C16409[c] + 2 C00001[c]"	"2',3,4,4',6'-peptahydroxychalcone 4'-O-glucoside:oxygen oxidoreductase"
"R00494"	"C00051[c] + C00001[c] <=> C01419[c] + C00025[c]"	"glutathione gamma-glutamylaminopeptidase"
"R10224"	"C20453[c] + C00007[c] <=> C20452[c] + C00001[c]"	"norsolorinic acid anthrone:oxygen 9-oxidoreductase (norsolorinic acid-forming)"
"R01249"	"C00148[c] + C00006[c] <=> C03564[c] + C00005[c] + C00080[c]"	"L-proline:NADP+ 2-oxidoreductase"
"R03034"	"C03383[c] + C00001[c] <=> C00880[c]"	"X"
"R00631"	"C00071[c] + C00003[c] + C00001[c] <=> C00162[c] + C00004[c] + C00080[c]"	"aldehyde:NAD+ oxidoreductase"
"R10003"	"C20271[c] + C00002[c] + C00010[c] <=> C00020[c] + C00013[c] + C07160[c]"	"[(1R)-2,2,3-trimethyl-5-oxocyclopent-3-enyl]acetate:CoA ligase (AMP-forming)"
"R07575"	"C06082[c] + C00029[c] <=> C15970[c] + C00015[c]"	"UDP-D-glucose:abscisate beta-D-glucosyltransferase"
"R04081"	"C00325[c] + C02900[c] <=> C00035[c] + C04648[c]"	"GDP-L-fucose:beta-D-galactosyl-R 2-fucosyltransferase"
"R10249"	"C20465[c] + C00005[c] + C00080[c] <=> C16930[c] + C00006[c] + C00033[c]"	"chavicol:NADP+ oxidoreductase"
"R01047"	"C00116[c] <=> C00969[c] + C00001[c]"	"glycerol hydro-lyase (3-hydroxypropanal-forming)"
"R08949"	"C03205[c] + 3 C00662[c] + 3 C00007[c] <=> C01780[c] + 3 C00667[c] + 4 C00001[c]"	"11-deoxycorticosterone,reduced-adrenal-ferredoxin:oxygen oxidoreductase (11beta,18-hydroxylating)"
"R05282"	"C06757[c] + C00003[c] <=> C06758[c] + C00004[c] + C00080[c]"	"4-methylbenzyl alcohol:NAD+ oxidoreductase"
"R12614"	"C22271[c] + C00007[c] <=> C00719[c] + C00009[c]"	"[(1R)-1-hydroxy-2-(trimethylamino)ethyl]phosphonate:oxygen 1R-oxidoreductase (glycine-betaine-forming)"
"R12942"	"C22461[c] + C00001[c] <=> C00069[c] + C00218[c] + C00011[c]"	"N-methyl carbamate ester hydrolase"
"R02539"	"C00002[c] + C07086[c] + C00010[c] <=> C00020[c] + C00013[c] + C00582[c]"	"phenylacetate:CoA ligase"
"R07859"	"C00157[c] + C00001[c] <=> C04230[c] + C06427[c]"	"X"
"R05424"	"C07111[c] <=> C07083[c] + 2 C00080[c]"	"X"
"R07233"	"C00019[c] + C00240[c] <=> C00021[c] + C04152[c]"	"S-adenosyl-L-methionine:rRNA (guanine-N1-)-methyltransferase"
"R04811"	"C00100[c] + C05337[c] <=> C00010[c] + C05449[c]"	"propanoyl-CoA:acetyl-CoA C-acyltransferase;"
"R03015"	"C01001[c] + 2 C00139[c] + C00001[c] <=> C00862[c] + 2 C00138[c] + C00011[c] + 2 C00080[c]"	"formylmethanofuran:ferredoxin oxidoreductase"
"R03989"	"C02593[c] + C00006[c] <=> C05273[c] + C00005[c] + C00080[c]"	"trans-tetradec-2-enoyl-CoA reductase"
"R03812"	"C02046[c] + C00026[c] + C00007[c] <=> C03325[c] + C00042[c] + C00011[c]"	"L-hyoscyamine,2-oxoglytarate:oxygen oxidoreductase ((6S)-hydroxylating)"
"R13010"	"C01798[c] + C00125[c] <=> C22515[c] + C00126[c]"	"a D-glucoside:ferric c-type cytochrome 3-oxidoreductase"
"R05276"	"C06387[c] + C01327[c] + C00006[c] <=> C06671[c] + C00005[c] + C00080[c]"	"4-chlorobenzoyl-CoA:NADP+ oxidoreductase (halogenating)"
"R04358"	"C00002[c] + C03959[c] <=> C00008[c] + C04395[c]"	"ATP:[DNA-directed RNA polymerase] phosphotransferase"
"R02861"	"C00745[c] + C00011[c] + C00080[c] <=> C06178[c] + C00253[c]"	"X"
"R08020"	"4 C16392[c] + C00007[c] <=> 2 C16413[c] + 4 C00001[c]"	"X"
"R01497"	"C00029[c] + C00195[c] <=> C00015[c] + C01190[c]"	"UDP-glucose:N-acylsphingosine D-glucosyltransferase"
"R08645"	"C17230[c] <=> C17231[c]"	"2-(3'-methylthio)heptylmalate hydroxymutase"
"R10555"	"C01151[c] <=> C01182[c]"	"alpha-D-ribose 1,5-bisphosphate aldose-ketose-isomerase"
"R12670"	"C22218[c] + C00001[c] <=> C22219[c]"	"D-apionolactone lactonohydrolase"
"R04549"	"C04652[c] + C00001[c] <=> C00105[c] + C04824[c]"	"UDP-2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine 2,3-bis[(3R)-3-hydroxymyristoyl]-beta-D-glucosaminyl 1-phosphate phosphohydrolase"
"R01515"	"C00236[c] + C00001[c] <=> C00197[c] + C00009[c]"	"3-phospho-D-glyceroyl phosphate phosphohydrolase"
"R11123"	"C21127[c] <=> C21128[c]"	"X"
"R13287"	"C00811[c] + C00001[c] <=> C22890[c]"	"X"
"R03605"	"C00029[c] + C02325[c] <=> C00015[c] + C01533[c]"	"UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase"
"R13307"	"C22906[c] + C00001[c] <=> C00719[c] + C00010[c]"	"betaine-CoA hydrolase"
"R13272"	"C22871[c] <=> C22872[c] + C00001[c]"	"ultra-long-chain-di-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein]-forming)"
"R01838"	"C00535[c] + C00006[c] <=> C00280[c] + C00005[c] + C00080[c]"	"testosterone:NADP+ 17-oxidoreductase"
"R11800"	"C00019[c] + C21674[c] <=> C00021[c] + C21675[c]"	"S-adenosyl-L-methionine:N,N-dimethylornithine-lipid N-methyltransferase"
"R03762"	"C05921[c] + C00010[c] <=> C00020[c] + C01894[c]"	"biotin:CoA ligase (AMP-forming);"
"R08008"	"C16407[c] + C00007[c] <=> C16409[c] + C00001[c]"	"2',4,4',6'-tetrahydroxychalcone 4'-O-glucoside:oxygen oxidoreductase"
"R06011"	"G10611[c] + G00108[c] <=> G10619[c] + G00176[c]"	"X"
"R05036"	"C05905[c] + C00042[c] + C00011[c] + 2 C00001[c] <=> C05906[c] + C00026[c] + C00007[c] + C00080[c]"	"leucocyanidin,2-oxoglutarate:oxygen oxidoreductase"
"R11881"	"4 C19610[c] + C00007[c] + 4 C00080[c] <=> 4 C19611[c] + 2 C00001[c]"	"X"
"R05229"	"C03112[c] + C00042[c] + C00011[c] <=> C06565[c] + C00026[c] + C00007[c]"	"X"
"R04117"	"C03012[c] + C00007[c] <=> C06204[c]"	"naphthalene-1,2-diol:oxygen oxidoreductase"
"R09666"	"C00096[c] + C00258[c] <=> C00035[c] + C11544[c]"	"GDP-mannose:D-glycerate 2-alpha-D-mannosyltransferase"
"R03469"	"C00002[c] + C01277[c] <=> C00008[c] + C04637[c]"	"ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 5-phosphotransferase"
"R04159"	"C03193[c] + C00045[c] <=> C00012[c] + C03363[c]"	"(5-L-glutamyl)-peptide:amino-acid 5-glutamyltransferase"
"R06725"	"C12440[c] <=> C06177[c]"	"X"
"R12105"	"C21905[c] + C00003[c] <=> C21906[c] + C00004[c] + C00080[c]"	"3-oxocholan-24-oyl-CoA Delta4-oxidoreductase"
"R12140"	"C04672[c] + C00001[c] <=> C21923[c]"	"X"
"R08622"	"C17211[c] + C00151[c] <=> C17213[c] + C00161[c]"	"homomethionine:2-oxo-acid aminotransferase"
"R01658"	"C00235[c] + C00129[c] <=> C00013[c] + C00341[c]"	"dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase"
"R01261"	"C00041[c] + C00161[c] <=> C00022[c] + C00151[c]"	"L-alanine:2-oxo-acid aminotransferase"
"R08182"	"C03595[c] + C00001[c] <=> C00010[c] + C03242[c]"	"X"
"R09746"	"C16145[c] + C00016[c] <=> C19797[c] + C01352[c]"	"4,4'-diapophytoene:FAD oxidoreductase"
"R10769"	"C00002[c] + C20199[c] + C00010[c] <=> C00020[c] + C00013[c] + C20838[c]"	"3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate:CoA ligase (AMP-forming)"
"R08371"	"2 C06394[c] <=> C07667[c]"	"X"
"R12781"	"C00002[c] + C00065[c] + C21097[c] <=> C00020[c] + C00013[c] + C22390[c]"	"L-serine:[L-seryl-carrier protein] ligase (AMP-forming)"
"R06318"	"C11897[c] <=> C11899[c]"	"X"
