"Abbreviation"	"Description"	"Formula"
"C00550[c]"	"Sphingomyelin"	"C24H49N2O6PR"
"C00552[c]"	"meso-Tartaric acid"	"C4H6O6"
"C00553[c]"	"(+)-Neomenthol"	"C10H20O"
"C00555[c]"	"4-Aminobutyraldehyde"	"C4H9NO"
"C00556[c]"	"Benzyl alcohol"	"C7H8O"
"C00557[c]"	"Cyclopentanone"	"C5H8O"
"C00558[c]"	"D-Tagaturonate"	"C6H10O7"
"C00559[c]"	"Deoxyadenosine"	"C10H13N5O3"
"C00561[c]"	"Mandelonitrile"	"C8H7NO"
"C00562[c]"	"Phosphoprotein"	"X"
"C00565[c]"	"Trimethylamine"	"C3H9N"
"C00566[c]"	"(3S)-Citryl-CoA"	"C27H42N7O22P3S"
"C00568[c]"	"4-Aminobenzoate"	"C7H7NO2"
"C00570[c]"	"CDP-ethanolamine"	"C11H20N4O11P2"
"C00571[c]"	"Cyclohexylamine"	"C6H13N"
"C00573[c]"	"Keratan sulfate"	"(C28H46N2O29S3)n"
"C00575[c]"	"3',5'-Cyclic AMP"	"C10H12N5O6P"
"C00576[c]"	"Betaine aldehyde"	"C5H12NO"
"C00577[c]"	"D-Glyceraldehyde"	"C3H6O3"
"C00579[c]"	"Dihydrolipoamide"	"C8H17NOS2"
"C00580[c]"	"Dimethyl sulfide"	"C2H6S"
"C00581[c]"	"Guanidinoacetate"	"C3H7N3O2"
"C00582[c]"	"Phenylacetyl-CoA"	"C29H42N7O17P3S"
"C00583[c]"	"Propane-1,2-diol"	"C3H8O2"
"C00584[c]"	"Prostaglandin E2"	"C20H32O5"
"C00585[c]"	"Protein tyrosine"	"C10H10N2O3R2"
"C00586[c]"	"2-Deoxy-D-glucose"	"C6H12O5"
"C00587[c]"	"3-Hydroxybenzoate"	"C7H6O3"
"C00588[c]"	"Choline phosphate"	"C5H15NO4P"
"C00590[c]"	"Coniferyl alcohol"	"C10H12O3"
"C00591[c]"	"N-Acylneuraminate"	"C10H16NO9R"
"C00593[c]"	"Sulfoacetaldehyde"	"C2H4O4S"
"C00596[c]"	"2-Hydroxy-2,4-pentadienoate"	"C5H6O3"
"C00599[c]"	"Cholest-4-en-3-one"	"C27H44O"
"C00601[c]"	"Phenylacetaldehyde"	"C8H8O"
"C00602[c]"	"beta-D-Galactoside"	"C6H11O6R"
"C00603[c]"	"(S)-Ureidoglycolate"	"C3H6N2O4"
"C00605[c]"	"2,3-Dehydroacyl-CoA"	"C24H37N7O17P3SR"
"C00606[c]"	"3-Sulfino-L-alanine"	"C3H7NO4S"
"C00609[c]"	"Long-chain aldehyde"	"C3H5OR"
"C00611[c]"	"N-Acetyllactosamine"	"C14H25NO11"
"C00612[c]"	"N1-Acetylspermidine"	"C9H21N3O"
"C00613[c]"	"Protein-L-arginine"	"C7H13N5O2R2"
"C00614[c]"	"Protein glutamate"	"C6H8N2O4R2"
"C00615[c]"	"Protein histidine"	"C7H8N4O2R2"
"C00616[c]"	"Quercetin 3-sulfate"	"C15H10O10S"
"C00617[c]"	"UDP-D-galacturonate"	"C15H22N2O18P2"
"C00618[c]"	"3-Dehydro-L-gulonate"	"C6H10O7"
"C00619[c]"	"3-Oxo-Delta4-steroid"	"C19H28O"
"C00620[c]"	"alpha-D-Ribose 1-phosphate"	"C5H11O8P"
"C00621[c]"	"Dolichyl diphosphate"	"C20H38O7P2(C5H8)n"
"C00623[c]"	"sn-Glycerol 1-phosphate"	"C3H9O6P"
"C00624[c]"	"N-Acetyl-L-glutamate"	"C7H11NO5"
"C00625[c]"	"N-Acyl-D-mannosamine"	"C7H12NO6R"
"C00627[c]"	"Pyridoxine phosphate"	"C8H12NO6P"
"C00628[c]"	"2,5-Dihydroxybenzoate"	"C7H6O4"
"C00630[c]"	"2-Methylpropanoyl-CoA"	"C25H42N7O17P3S"
"C00631[c]"	"2-Phospho-D-glycerate"	"C3H7O7P"
"C00632[c]"	"3-Hydroxyanthranilate"	"C7H7NO3"
"C00633[c]"	"4-Hydroxybenzaldehyde"	"C7H6O2"
"C00634[c]"	"Chondroitin 4-sulfate"	"(C14H21NO14S)n"
"C00635[c]"	"Chondroitin 6-sulfate"	"(C14H21NO14S)n"
"C00636[c]"	"D-Mannose 1-phosphate"	"C6H13O9P"
"C00637[c]"	"Indole-3-acetaldehyde"	"C10H9NO"
"C00638[c]"	"Long-chain fatty acid"	"C3H5O2R"
"C00639[c]"	"Prostaglandin F2alpha"	"C20H34O5"
"C00640[c]"	"(3S)-3-Hydroxyacyl-CoA"	"C24H39N7O18P3SR"
"C00641[c]"	"1,2-Diacyl-sn-glycerol"	"C5H6O5R2"
"C00642[c]"	"4-Hydroxyphenylacetate"	"C8H8O3"
"C00643[c]"	"5-Hydroxy-L-tryptophan"	"C11H12N2O3"
"C00644[c]"	"D-Mannitol 1-phosphate"	"C6H15O9P"
"C00645[c]"	"N-Acetyl-D-mannosamine"	"C8H15NO6"
"C00647[c]"	"Pyridoxamine phosphate"	"C8H13N2O5P"
"C00650[c]"	"4-Hydroxymandelonitrile"	"C8H7NO2"
"C00651[c]"	"4-Methylene-L-glutamate"	"C6H9NO4"
"C00652[c]"	"D-Arabinono-1,4-lactone"	"C5H8O5"
"C00653[c]"	"Poly(ribitol phosphate)"	"(C5H11O7P)n"
"C00655[c]"	"Xanthosine 5'-phosphate"	"C10H13N4O9P"
"C00658[c]"	"trans-2,3-Dehydroacyl-CoA"	"C24H37N7O17P3SR"
"C00662[c]"	"Reduced adrenal ferredoxin"	"X"
"C00663[c]"	"beta-D-Glucose 1-phosphate"	"C6H13O9P"
"C00664[c]"	"5-Formiminotetrahydrofolate"	"C20H24N8O6"
"C00665[c]"	"beta-D-Fructose 2,6-bisphosphate"	"C6H14O12P2"
"C00666[c]"	"LL-2,6-Diaminoheptanedioate"	"C7H14N2O4"
"C00667[c]"	"Oxidized adrenal ferredoxin"	"X"
"C00668[c]"	"alpha-D-Glucose 6-phosphate"	"C6H13O9P"
"C00669[c]"	"gamma-L-Glutamyl-L-cysteine"	"C8H14N2O5S"
"C00670[c]"	"sn-Glycero-3-phosphocholine"	"C8H21NO6P"
"C00671[c]"	"(S)-3-Methyl-2-oxopentanoic acid"	"C6H10O3"
"C00672[c]"	"2-Deoxy-D-ribose 1-phosphate"	"C5H11O7P"
"C00673[c]"	"2-Deoxy-D-ribose 5-phosphate"	"C5H11O7P"
"C00674[c]"	"5alpha-Androstane-3,17-dione"	"C19H28O2"
"C00675[c]"	"Deoxynucleoside 3'-phosphate"	"C5H10O6PR"
"C00676[c]"	"Deoxynucleoside 5'-phosphate"	"C5H10O6PR"
"C00677[c]"	"Deoxynucleoside triphosphate"	"C5H12O12P3R"
"C00679[c]"	"5-Dehydro-4-deoxy-D-glucarate"	"C6H8O7"
"C00680[c]"	"meso-2,6-Diaminoheptanedioate"	"C7H14N2O4"
"C00681[c]"	"1-Acyl-sn-glycerol 3-phosphate"	"C4H8O7PR"
"C00682[c]"	"2-Hydroxymuconate semialdehyde"	"C6H6O4"
"C00683[c]"	"(S)-Methylmalonyl-CoA"	"C25H40N7O19P3S"
"C00684[c]"	"2-Dehydro-3-deoxy-L-arabinonate"	"C5H8O5"
"C00685[c]"	"3-Oxoacyl-[acyl-carrier protein]"	"C3H2O2SR2"
"C00686[c]"	"N-Acyl-D-mannosamine 6-phosphate"	"C7H13NO9PR"
"C00688[c]"	"dTDP-4-dehydro-beta-L-rhamnose"	"C16H24N2O15P2"
"C00689[c]"	"alpha,alpha'-Trehalose 6-phosphate"	"C12H23O14P"
"C00691[c]"	"2,4,6/3,5-Pentahydroxycyclohexanone"	"C6H10O6"
"C00692[c]"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"	"C28H43N5O23P2"
"C00693[c]"	"trans-2,3-Dehydroacyl-[acyl-carrier protein]"	"C3H2OSR2"
"C00694[c]"	"beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R"	"C14H24NO11R"
"C00695[c]"	"Cholic acid"	"C24H40O5"
"C00696[c]"	"Prostaglandin D2"	"C20H32O5"
"C00697[c]"	"Nitrogen"	"N2"
"C00698[c]"	"Cl-"	"Cl"
"C00700[c]"	"XTP"	"C10H15N4O15P3"
"C00701[c]"	"Base"	"X"
"C00703[c]"	"Mercury(2+)"	"Hg"
"C00704[c]"	"Superoxide"	"O2"
"C00705[c]"	"dCDP"	"C9H15N3O10P2"
"C00706[c]"	"Amine"	"NH2R"
"C00708[c]"	"Iodide"	"I"
"C00712[c]"	"(9Z)-Octadecenoic acid"	"C18H34O2"
"C00714[c]"	"Pectin"	"(C26H36O24)n"
"C00715[c]"	"Pterin"	"C6H5N5O"
"C00716[c]"	"Serine"	"C3H7NO3"
"C00717[c]"	"Alditol"	"C2H5O2R"
"C00718[c]"	"Amylose"	"(C6H10O5)n"
"C00719[c]"	"Betaine"	"C5H11NO2"
"C00720[c]"	"RBr"	"BrR"
"C00721[c]"	"Dextrin"	"(C12H20O10)n"
"C00722[c]"	"Epoxide"	"C2H2OR2"
"C00723[c]"	"Insulin"	"X"
"C00726[c]"	"Nitrile"	"CNR"
"C00727[c]"	"Orcinol"	"C7H8O2"
"C00729[c]"	"Tropine"	"C8H15NO"
"C00734[c]"	"Chitosan"	"C12H24N2O9(C6H11NO4)n"
"C00735[c]"	"Cortisol"	"C21H30O5"
"C00736[c]"	"Cysteine"	"C3H7NO2S"
"C00737[c]"	"D-Aldose"	"C6H12O6"
"C00738[c]"	"D-Hexose"	"C6H12O6"
"C00739[c]"	"D-Lysine"	"C6H14N2O2"
"C00740[c]"	"D-Serine"	"C3H7NO3"
"C00741[c]"	"Diacetyl"	"C4H6O2"
"C00742[c]"	"Fluoride"	"F"
"C00744[c]"	"Macrocin"	"C45H75NO17"
"C00745[c]"	"Nicotine"	"C10H14N2"
"C00747[c]"	"Pyridine"	"C5H5N"
"C00748[c]"	"Siroheme"	"C42H44FeN4O16"
"C00750[c]"	"Spermine"	"C10H26N4"
"C00751[c]"	"Squalene"	"C30H50"
"C00755[c]"	"4-Hydroxy-3-methoxy-benzaldehyde"	"C8H8O3"
"C00756[c]"	"1-Octanol"	"C8H18O"
"C00757[c]"	"Berberine"	"C20H18NO4"
"C00758[c]"	"Bergaptol"	"C11H6O4"
"C00759[c]"	"Caldesmon"	"X"
"C00760[c]"	"Cellulose"	"(C6H10O5)n"
"C00761[c]"	"Coniferin"	"C16H22O8"
"C00762[c]"	"Cortisone"	"C21H28O5"
"C00763[c]"	"D-Proline"	"C5H9NO2"
"C00764[c]"	"D-Sorbose"	"C6H12O6"
"C00766[c]"	"Flavanone"	"C15H12O2"
"C00770[c]"	"L-Idonate"	"C6H12O7"
"C00772[c]"	"Mevaldate"	"C6H10O4"
"C00774[c]"	"Phloretin"	"C15H14O5"
"C00777[c]"	"Retinoate"	"C20H28O2"
"C00778[c]"	"Rhodopsin"	"C20H28R"
"C00779[c]"	"Scytalone"	"C10H10O4"
"C00780[c]"	"Serotonin"	"C10H12N2O"
"C00783[c]"	"Tropinone"	"C8H13NO"
"C00785[c]"	"Urocanate"	"C6H6N2O2"
"C00786[c]"	"(-)-Vestitone"	"C16H14O5"
"C00787[c]"	"tRNA(Tyr)"	"X"
"C00788[c]"	"L-Adrenaline"	"C9H13NO3"
"C00789[c]"	"CDP-ribitol"	"C14H25N3O15P2"
"C00791[c]"	"Creatinine"	"C4H7N3O"
"C00792[c]"	"D-Arginine"	"C6H14N4O2"
"C00793[c]"	"D-Cysteine"	"C3H7NO2S"
"C00794[c]"	"D-Sorbitol"	"C6H14O6"
"C00795[c]"	"D-Tagatose"	"C6H12O6"
"C00797[c]"	"Ethylamine"	"C2H7N"
"C00798[c]"	"Formyl-CoA"	"C22H36N7O17P3S"
"C00799[c]"	"Isoflavone"	"C15H10O2"
"C00800[c]"	"L-Gulonate"	"C6H12O7"
"C00801[c]"	"Nucleoside"	"C5H9O4R"
"C00802[c]"	"Oxalureate"	"C3H4N2O4"
"C00803[c]"	"Pentanoate"	"C5H10O2"
"C00804[c]"	"Propynoate"	"C3H2O2"
"C00805[c]"	"Salicylate"	"C7H6O3"
"C00806[c]"	"Tryptophan"	"C11H12N2O2"
"C00808[c]"	"(+)-Camphor"	"C10H16O"
"C00809[c]"	"(-)-Camphor"	"C10H16O"
"C00810[c]"	"(R)-Acetoin"	"C4H8O2"
"C00811[c]"	"4-Coumarate"	"C9H8O3"
"C00812[c]"	"Alkyl thiol"	"HSR"
"C00813[c]"	"Barbiturate"	"C4H4N2O3"
"C00814[c]"	"Biochanin A"	"C16H12O5"
"C00815[c]"	"Citramalate"	"C5H8O5"
"C00817[c]"	"D-Altronate"	"C6H12O7"
"C00818[c]"	"D-Glucarate"	"C6H10O8"
"C00819[c]"	"D-Glutamine"	"C5H10N2O3"
"C00820[c]"	"D-Threonine"	"C4H9NO3"
"C00821[c]"	"DNA adenine"	"C10H14N5O6P(C5H8O5PR)n(C5H8O5PR)n"
"C00822[c]"	"Dopaquinone"	"C9H9NO4"
"C00823[c]"	"1-Hexadecanol"	"C16H34O"
"C00825[c]"	"Kanamycin B"	"C18H37N5O10"
"C00826[c]"	"L-Arogenate"	"C10H13NO5"
"C00827[c]"	"Lactoyl-CoA"	"C24H40N7O18P3S"
"C00828[c]"	"Menaquinone"	"C16H16O2(C5H8)n"
"C00829[c]"	"Naphthalene"	"C10H8"
"C00830[c]"	"Oxomalonate"	"C3H2O5"
"C00831[c]"	"Pantetheine"	"C11H22N2O4S"
"C00832[c]"	"Paromomycin"	"C23H45N5O14"
"C00835[c]"	"Sepiapterin"	"C9H11N5O3"
"C00836[c]"	"Sphinganine"	"C18H39NO2"
"C00839[c]"	"Tropomyosin"	"C4H6N2O3R2"
"C00841[c]"	"Xanthotoxol"	"C11H6O4"
"C00842[c]"	"dTDP-glucose"	"C16H26N2O16P2"
"C00843[c]"	"(-)-Menthone"	"C10H18O"
"C00844[c]"	"Prunasin"	"C14H17NO6"
"C00845[c]"	"2-Furoyl-CoA"	"C26H38N7O18P3S"
"C00846[c]"	"3-Oxoadipate"	"C6H8O5"
"C00847[c]"	"4-Pyridoxate"	"C8H9NO4"
"C00848[c]"	"6-Oxocineole"	"C10H16O2"
"C00849[c]"	"Ethyl acetate"	"C4H8O2"
"C00850[c]"	"Aryl sulfate"	"C6H6O4S"
"C00852[c]"	"Chlorogenate"	"C16H18O9"
"C00853[c]"	"Cob(I)alamin"	"C62H89CoN13O14P"
"C00854[c]"	"Cyclohexanol"	"C6H12O"
"C00855[c]"	"D-Methionine"	"C5H11NO2S"
"C00856[c]"	"DNA cytosine"	"C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n"
"C00857[c]"	"Deamino-NAD+"	"C21H27N6O15P2"
"C00858[c]"	"Formononetin"	"C16H12O4"
"C00859[c]"	"Gibberellin A1"	"C19H24O6"
"C00860[c]"	"L-Histidinol"	"C6H11N3O"
"C00861[c]"	"L-Rhamnulose"	"C6H12O5"
"C00862[c]"	"Methanofuran"	"C34H44N4O15"
"C00863[c]"	"Monoterpenol"	"HOR"
"C00864[c]"	"Pantothenate"	"C9H17NO5"
"C00865[c]"	"Phospholipid"	"C5H6O8PR3"
"C00868[c]"	"tRNA uridine"	"C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n"
"C00869[c]"	"2-Oxooctadecanoic acid"	"C18H34O3"
"C00870[c]"	"4-Nitrophenol"	"C6H5NO3"
"C00872[c]"	"Aminomalonate"	"C3H5NO4"
"C00876[c]"	"Coenzyme F420"	"C29H36N5O18P"
"C00877[c]"	"Crotonoyl-CoA"	"C25H40N7O17P3S"
"C00878[c]"	"D-Arabinonate"	"C5H10O6"
"C00879[c]"	"D-Galactarate"	"C6H10O8"
"C00880[c]"	"D-Galactonate"	"C6H12O7"
"C00881[c]"	"Deoxycytidine"	"C9H13N3O4"
"C00882[c]"	"Dephospho-CoA"	"C21H35N7O13P2S"
"C00884[c]"	"Homocarnosine"	"C10H16N4O3"
"C00885[c]"	"Isochorismate"	"C10H10O6"
"C00886[c]"	"L-Alanyl-tRNA"	"C13H22NO11PR2(C5H8O6PR)n"
"C00887[c]"	"Nitrous oxide"	"N2O"
"C00888[c]"	"Pentanoyl-CoA"	"C26H44N7O17P3S"
"C00891[c]"	"Pregnan-21-al"	"C21H34O"
"C00892[c]"	"Pregnan-21-ol"	"C21H36O"
"C00894[c]"	"Propenoyl-CoA"	"C24H38N7O17P3S"
"C00897[c]"	"alpha-Maltose"	"C12H22O11"
"C00898[c]"	"(R,R)-Tartaric acid"	"C4H6O6"
"C00899[c]"	"11-cis-Retinol"	"C20H30O"
"C00900[c]"	"2-Acetolactate"	"C5H8O4"
"C00902[c]"	"2-Oxohexanoic acid"	"C6H10O3"
"C00903[c]"	"Cinnamaldehyde"	"C9H8O"
"C00904[c]"	"Citramalyl-CoA"	"C26H42N7O20P3S"
"C00905[c]"	"D-Fructuronate"	"C6H10O7"
"C00906[c]"	"5,6-Dihydrothymine"	"C5H8N2O2"
"C00908[c]"	"Gentamicin C1a"	"C19H39N5O7"
"C00909[c]"	"Leukotriene A4"	"C20H30O3"
"C00911[c]"	"Ribonucleoside"	"C5H9O4R"
"C00916[c]"	"Cephalosporin C"	"C16H21N3O8S"
"C00918[c]"	"Chloramphenicol"	"C11H12Cl2N2O5"
"C00919[c]"	"Choline sulfate"	"C5H13NO4S"
"C00920[c]"	"CoA-glutathione"	"C31H51N10O22P3S2"
"C00921[c]"	"Dihydropteroate"	"C14H14N6O3"
"C00922[c]"	"2,3-Dimethylmaleate"	"C6H8O4"
"C00923[c]"	"Ferricytochrome"	"X"
"C00924[c]"	"Ferrocytochrome"	"X"
"C00925[c]"	"Heparan sulfate"	"(C12H15NO10(R1)3(R2))n"
"C00927[c]"	"Isonocardicin A"	"C23H24N4O9"
"C00931[c]"	"Porphobilinogen"	"C10H14N2O4"
"C00933[c]"	"Sinapine"	"C16H24NO5"
"C00934[c]"	"Sugar phosphate"	"X"
"C00935[c]"	"UDP-L-arabinose"	"C14H22N2O16P2"
"C00936[c]"	"alpha-D-Mannose"	"C6H12O6"
"C00937[c]"	"(R)-Lactaldehyde"	"C3H6O2"
"C00940[c]"	"2-Oxoglutaramate"	"C5H7NO4"
"C00941[c]"	"3',5'-Cyclic CMP"	"C9H12N3O7P"
"C00942[c]"	"3',5'-Cyclic GMP"	"C10H12N5O7P"
"C00943[c]"	"3',5'-Cyclic IMP"	"C10H11N4O7P"
"C00944[c]"	"3-Dehydroquinate"	"C7H10O6"
"C00950[c]"	"Dithioerythritol"	"C4H10O2S2"
"C00951[c]"	"Estradiol-17beta"	"C18H24O2"
"C00954[c]"	"Indole-3-acetate"	"C10H9NO2"
"C00955[c]"	"Indole-3-ethanol"	"C10H11NO"
"C00956[c]"	"L-2-Aminoadipate"	"C6H11NO4"
"C00957[c]"	"Mercaptopyruvate"	"C3H4O3S"
"C00958[c]"	"Plasmenylcholine"	"C11H21NO7PR2"
"C00961[c]"	"Sterigmatocystin"	"C18H12O6"
"C00962[c]"	"beta-D-Galactose"	"C6H12O6"
"C00963[c]"	"beta-D-Glucoside"	"C6H11O6R"
"C00964[c]"	"(-)-trans-Carveol"	"C10H16O"
"C00965[c]"	"1,3-beta-D-Glucan"	"(C6H10O5)n"
"C00966[c]"	"2-Dehydropantoate"	"C6H10O4"
"C00969[c]"	"3-Hydroxypropanal"	"C3H6O2"
"C00971[c]"	"4-Pyridoxolactone"	"C8H7NO3"
"C00972[c]"	"Aromatic oxo acid"	"C3H3O3R"
"C00973[c]"	"Cyclomaltodextrin"	"(C6H10O5)n"
"C00974[c]"	"Dihydrokaempferol"	"C15H12O6"
"C00975[c]"	"Dihydroxyfumarate"	"C4H4O6"
"C00976[c]"	"GDP-D-mannuronate"	"C16H23N5O17P2"
"C00977[c]"	"L-Tryptophanamide"	"C11H13N3O"
"C00978[c]"	"N-Acetylserotonin"	"C12H14N2O2"
"C00979[c]"	"O-Acetyl-L-serine"	"C5H9NO4"
"C00980[c]"	"Polyvinyl alcohol"	"(C2H4O)n"
"C00982[c]"	"Renilla luciferin"	"C26H21N3O2"
"C00984[c]"	"alpha-D-Galactose"	"C6H12O6"
"C00986[c]"	"1,3-Diaminopropane"	"C3H10N2"
"C00988[c]"	"2-Phosphoglycolate"	"C2H5O6P"
"C00989[c]"	"4-Hydroxybutanoic acid"	"C4H8O3"
"C00990[c]"	"5-Aminopentanamide"	"C5H12N2O"
"C00991[c]"	"alpha-D-Aldose 1-phosphate"	"X"
"C00992[c]"	"Aquacob(III)alamin"	"C62H90CoN13O15P"
"C00993[c]"	"D-Alanyl-D-alanine"	"C6H12N2O3"
"C00995[c]"	"Ferricytochrome b1"	"X"
"C00996[c]"	"Ferricytochrome b5"	"X"
"C00997[c]"	"Ferricytochrome c2"	"X"
"C00998[c]"	"Ferrocytochrome b1"	"X"
"C00999[c]"	"Ferrocytochrome b5"	"X"
"C01000[c]"	"Ferrocytochrome c2"	"X"
"C01001[c]"	"Formylmethanofuran"	"C35H44N4O16"
"C01003[c]"	"Myosin light chain"	"C4H6N2O3R2"
"C01004[c]"	"N-Methylnicotinate"	"C7H7NO2"
"C01005[c]"	"O-Phospho-L-serine"	"C3H8NO6P"
"C01007[c]"	"Reduced riboflavin"	"C17H22N4O6"
"C01008[c]"	"Trimethylsulfonium"	"C3H9S"
"C01010[c]"	"Urea-1-carboxylate"	"C2H4N2O3"
"C01011[c]"	"(3S)-Citramalyl-CoA"	"C26H42N7O20P3S"
"C01012[c]"	"(R)-Pantolactone"	"C6H10O3"
"C01013[c]"	"3-Hydroxypropanoate"	"C3H6O3"
"C01015[c]"	"cis-4-Hydroxy-L-proline"	"C5H9NO3"
"C01019[c]"	"L-Fucose"	"C6H12O5"
"C01020[c]"	"6-Hydroxynicotinate"	"C6H5NO3"
"C01021[c]"	"Aromatic amino acid"	"C3H6NO2R"
"C01022[c]"	"Caldesmon phosphate"	"X"
"C01024[c]"	"Hydroxymethylbilane"	"C40H46N4O17"
"C01025[c]"	"Lipid hydroperoxide"	"HO2R"
"C01026[c]"	"N,N-Dimethylglycine"	"C4H9NO2"
"C01028[c]"	"N6-Hydroxy-L-lysine"	"C6H14N2O3"
"C01029[c]"	"N8-Acetylspermidine"	"C9H21N3O"
"C01031[c]"	"S-Formylglutathione"	"C11H17N3O7S"
"C01033[c]"	"2-Methylbutanoyl-CoA"	"C26H44N7O17P3S"
"C01034[c]"	"3-Oxo-Delta5-steroid"	"C19H28O"
"C01035[c]"	"4-Guanidinobutanoate"	"C5H11N3O2"
"C01036[c]"	"4-Maleylacetoacetate"	"C8H8O6"
"C01037[c]"	"7,8-Diaminononanoate"	"C9H20N2O2"
"C01040[c]"	"L-Gulono-1,4-lactone"	"C6H10O6"
"C01041[c]"	"Monodehydroascorbate"	"C6H7O6"
"C01042[c]"	"N-Acetyl-L-aspartate"	"C6H9NO5"
"C01043[c]"	"N-Carbamoylsarcosine"	"C4H8N2O3"
"C01044[c]"	"N-Formyl-L-aspartate"	"C5H7NO5"
"C01045[c]"	"N-Formyl-L-glutamate"	"C6H9NO5"
"C01046[c]"	"N-Methyl-L-glutamate"	"C6H11NO4"
"C01047[c]"	"N5-Ethyl-L-glutamine"	"C7H14N2O3"
"C01048[c]"	"Polyprenyl phosphate"	"C5H11O4P(C5H8)n"
"C01050[c]"	"UDP-N-acetylmuramate"	"C20H31N3O19P2"
"C01051[c]"	"Uroporphyrinogen III"	"C40H44N4O16"
"C01053[c]"	"(R)-4-Dehydropantoate"	"C6H10O4"
"C01054[c]"	"(S)-2,3-Epoxysqualene"	"C30H50O"
"C01056[c]"	"(S)-6-Hydroxynicotine"	"C10H14N2O"
"C01058[c]"	"11beta-Hydroxysteroid"	"X"
"C01059[c]"	"2,5-Dihydroxypyridine"	"C5H5NO2"
"C01060[c]"	"3,5-Diiodo-L-tyrosine"	"C9H9I2NO3"
"C01061[c]"	"4-Fumarylacetoacetate"	"C8H8O6"
"C01062[c]"	"5-Dehydro-D-gluconate"	"C6H10O7"
"C01063[c]"	"Pimeloyl-CoA"	"C28H46N7O19P3S"
"C01064[c]"	"CMP-N-acylneuraminate"	"C19H28N4O16PR"
"C01066[c]"	"Cyclohexane-1,3-dione"	"C6H8O2"
"C01068[c]"	"D-Ribitol 5-phosphate"	"C5H13O8P"
"C01069[c]"	"Desulfoglucotropeolin"	"C14H19NO6S"
"C01070[c]"	"Ferricytochrome c-553"	"X"
"C01071[c]"	"Ferrocytochrome c-553"	"X"
"C01073[c]"	"N-Acetyl-beta-alanine"	"C5H9NO3"
"C01074[c]"	"N-Acetylgalactosamine"	"X"
"C01075[c]"	"N-Sulfo-D-glucosamine"	"C6H13NO8S"
"C01077[c]"	"O-Acetyl-L-homoserine"	"C6H11NO4"
"C01078[c]"	"Procollagen L-proline"	"C6H8N2O2R2"
"C01079[c]"	"Protoporphyrinogen IX"	"C34H40N4O4"
"C01080[c]"	"Reduced coenzyme F420"	"C29H38N5O18P"
"C01081[c]"	"Thiamin monophosphate"	"C12H18N4O4PS"
"C01083[c]"	"alpha,alpha-Trehalose"	"C12H22O11"
"C01086[c]"	"(3R)-3-Hydroxyacyl-CoA"	"C24H39N7O18P3SR"
"C01087[c]"	"(R)-2-Hydroxyglutarate"	"C5H8O5"
"C01088[c]"	"(R)-3,3-Dimethylmalate"	"C6H10O5"
"C01089[c]"	"(R)-3-Hydroxybutanoate"	"C4H8O3"
"C01090[c]"	"16alpha-Hydroxysteroid"	"C19H32O2"
"C01091[c]"	"Deacetylvindoline"	"C23H30N2O5"
"C01092[c]"	"8-Amino-7-oxononanoate"	"C9H17NO3"
"C01093[c]"	"Cellobiono-1,5-lactone"	"C12H20O11"
"C01094[c]"	"D-Fructose 1-phosphate"	"C6H13O9P"
"C01096[c]"	"Sorbitol 6-phosphate"	"C6H15O9P"
"C01097[c]"	"D-Tagatose 6-phosphate"	"C6H13O9P"
"C01099[c]"	"L-Fuculose 1-phosphate"	"C6H13O8P"
"C01100[c]"	"L-Histidinol phosphate"	"C6H12N3O4P"
"C01101[c]"	"L-Ribulose 5-phosphate"	"C5H11O8P"
"C01102[c]"	"O-Phospho-L-homoserine"	"C4H10NO6P"
"C01103[c]"	"Orotidine 5'-phosphate"	"C10H13N2O11P"
"C01104[c]"	"Trimethylamine N-oxide"	"C3H9NO"
"C01107[c]"	"(R)-5-Phosphomevalonate"	"C6H13O7P"
"C01108[c]"	"1,2,3-Trihydroxybenzene"	"C6H6O3"
"C01109[c]"	"4-Methylene-L-glutamine"	"C6H10N2O3"
"C01110[c]"	"5-Amino-2-oxopentanoic acid"	"C5H9NO3"
"C01111[c]"	"7,8-Dihydroxykynurenate"	"C10H7NO5"
"C01112[c]"	"D-Arabinose 5-phosphate"	"C5H11O8P"
"C01113[c]"	"D-Galactose 6-phosphate"	"C6H13O9P"
"C01114[c]"	"L-Arabinono-1,4-lactone"	"C5H8O5"
"C01115[c]"	"L-Galactono-1,4-lactone"	"C6H10O6"
"C01117[c]"	"Nucleoside 5'-phosphate"	"C5H10O7PR"
"C01118[c]"	"O-Succinyl-L-homoserine"	"C8H13NO6"
"C01119[c]"	"Oxidized dithiothreitol"	"C4H8O2S2"
"C01120[c]"	"Sphinganine 1-phosphate"	"C18H40NO5P"
"C01121[c]"	"Streptidine 6-phosphate"	"C8H19N6O7P"
"C01122[c]"	"cis-2,3-Dehydroacyl-CoA"	"C24H37N7O17P3SR"
"C01123[c]"	"(-)-trans-Isopiperitenol"	"C10H16O"
"C01124[c]"	"18-Hydroxycorticosterone"	"C21H30O5"
"C01125[c]"	"Dihydro-4,4-dimethyl-2,3-furandione"	"C6H8O3"
"C01126[c]"	"(2E,6E)-Farnesol"	"C15H26O"
