,Abbreviation,Description,Reaction
278,ADOCBLabcpp,Adenosylcobalamin transport via ABC system (periplasm),atp_c + h2o_c + adocbl_p <==> adocbl_c + adp_c + h_c + pi_c
279,ADOCBLtonex,Adenosylcobalimin transport via ton system (extermal),adocbl_e + h_p <==> h_c + adocbl_p
280,ADPT,Adenine phosphoribosyltransferase,ade_c + prpp_c <==> amp_c + ppi_c
281,ADSK,Adenylyl-sulfate kinase,aps_c + atp_c <==> adp_c + h_c + paps_c
282,ADSS,Adenylosuccinate synthase,asp__L_c + gtp_c + imp_c <==> dcamp_c + gdp_c + 2.0 h_c + pi_c
283,AGM3PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,anhgm3p_c + h2o_c <==> LalaDgluMdap_c + anhgm_c
284,AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",anhgm3p_c + h2o_c <==> acgam_c + anhm3p_c
285,AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhgm4p_c + h2o_c <==> ala__D_c + anhgm3p_c
286,AGM4PCPpp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)",anhgm4p_p + h2o_p <==> ala__D_p + anhgm3p_p
287,AGMT,Agmatinase,agm_c + h2o_c <==> ptrc_c + urea_c
288,AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),anhgm_p + h_p <==> anhgm_c + h_c
289,AGMtex,Agmatine transport via diffusion (extracellular to periplasm),agm_e <==> agm_p
290,AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),1hdec9eg3p_c + hdeACP_c <==> ACP_c + pa161_c
291,AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),1odecg3p_c + ocdcaACP_c <==> ACP_c + pa180_c
292,AGt3,Silver transport out via proton antiport,ag_c + h_e <==> h_c + ag_e
293,AIRC2,Phosphoribosylaminoimidazole carboxylase,air_c + atp_c + hco3_c <==> 5caiz_c + adp_c + h_c + pi_c
294,ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <==> adp_c + alaala_c + h_c + pi_c
295,ALAALAtex,D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm),alaala_e <==> alaala_p
296,ALATA_D2,D-alanine transaminase,ala__D_c + pydx5p_c <==> pyam5p_c + pyr_c
297,ALATA_L,L-alanine transaminase,akg_c + ala__L_c <==> glu__L_c + pyr_c
298,ALATA_L2,Alanine transaminase,ala__L_c + pydx5p_c <==> pyam5p_c + pyr_c
299,ALATRS,Alanyl-tRNA synthetase,ala__L_c + atp_c + trnaala_c <==> alatrna_c + amp_c + ppi_c
300,ALAt2pp,L-alanine transport in via proton symport (periplasm),ala__L_p + h_p <==> ala__L_c + h_c
301,ALCD2x,Alcohol dehydrogenase (ethanol),etoh_c + nad_c <==> acald_c + h_c + nadh_c
302,ALLK,Allose kinase,all__D_c + atp_c <==> adp_c + all6p_c + h_c
303,ALLTAMH,Allantoate amidohydrolase,alltt_c + 2.0 h_c + 2.0 h2o_c <==> co2_c + 2.0 nh4_c + urdglyc_c
304,ALLTNtex,Allantoin transport via diffusion (extracellular to periplasm),alltn_e <==> alltn_p
305,ALPATE160pp,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",alpp_p + pe160_p <==> 2agpe160_p + lpp_p
306,ALR4x,Aldose reductase (acetol),acetol_c + h_c + nadh_c <==> 12ppd__R_c + nad_c
307,ALTRH,Altronate hydrolase,altrn_c <==> 2ddglcn_c + h2o_c
308,AM4PA,Anhydrous-N-Acetylmuramyl-tetrapeptide amidase,anhm4p_c + h2o_c <==> LalaDgluMdapDala_c + anhm_c
309,AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",anhm4p_c + h2o_c <==> ala__D_c + anhm3p_c
310,AMALT3,Amylomaltase (maltopentaose),malt_c + maltpt_c <==> glc__D_c + malthx_c
311,AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,acmanap_c <==> acgam6p_c
312,AMANK,N-acetyl-D-mannosamine kinase,acmana_c + atp_c <==> acmanap_c + adp_c + h_c
313,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c + amet_c <==> amob_c + dann_c
314,AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,air_c + h2o_c + nad_c <==> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
315,AMPN,AMP nucleosidase,amp_c + h2o_c <==> ade_c + r5p_c
316,AMPtex,AMP transport via diffusion (extracellular to periplasm),amp_e <==> amp_p
317,ANHGMtex,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm),anhgm_e <==> anhgm_p
318,ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c <==> ppi_c + pran_c
319,AP4AS,Ap4A synthetase,2.0 atp_c + h_c <==> ap4a_c + ppi_c
320,AP5AH,Ap5A hydrolase,ap5a_c + h2o_c <==> adp_c + atp_c + 2.0 h_c
321,APG3PAT140,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0),glyc3p_c + ttdcap_c <==> 1tdecg3p_c + h_c + pi_c
322,APG3PAT141,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1),glyc3p_c + ttdceap_c <==> 1tdec7eg3p_c + h_c + pi_c
323,APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),glyc3p_c + hdceap_c <==> 1hdec9eg3p_c + h_c + pi_c
324,APH140,Acylphosphatase (C14:0),h2o_c + ttdcap_c <==> 2.0 h_c + pi_c + ttdca_c
325,APH141,Acylphosphatase (C14:1),h2o_c + ttdceap_c <==> 2.0 h_c + pi_c + ttdcea_c
326,APH160,Acylphosphatase (C16:0),h2o_c + hdcap_c <==> 2.0 h_c + hdca_c + pi_c
327,APH161,Acylphosphatase (C16:1),h2o_c + hdceap_c <==> 2.0 h_c + hdcea_c + pi_c
328,ARAI,L-arabinose isomerase,arab__L_c <==> rbl__L_c
329,ARBTNR1,Aerobactin reductase,2.0 arbtn_fe3_c + fadh2_c <==> 2.0 arbtn_c + fad_c + 2.0 fe2_c + 2.0 h_c
330,ARBTNexs,Aerobactin Fe-loading reaction (spontaneous),arbtn_e + fe3_e <==> arbtn_fe3_e
331,ARBTNtpp,Aerobactin secretion (to periplasm),arbtn_c + h_p <==> h_c + arbtn_p
332,ARBabcpp,L-arabinose transport via ABC system (periplasm),atp_c + h2o_c + arab__L_p <==> adp_c + arab__L_c + h_c + pi_c
333,ARBtex,L-arabinose transport via diffusion (extracellular to periplasm),arab__L_e <==> arab__L_p
334,ARGAGMt7pp,Arginine/agmatine antiport (periplasm),agm_c + arg__L_p <==> arg__L_c + agm_p
335,ARGDC,Arginine decarboxylase,arg__L_c + h_c <==> agm_c + co2_c
336,ARGDCpp,Arginine decarboxylase,arg__L_p + h_p <==> agm_p + co2_p
337,ARGSS,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <==> amp_c + argsuc_c + h_c + ppi_c
338,ARGTRS,Arginyl-tRNA synthetase,arg__L_c + atp_c + trnaarg_c <==> amp_c + argtrna_c + ppi_c
339,ARGt3pp,L-arginine transport out via proton antiport (cytoplasm to periplasm),arg__L_c + h_p <==> h_c + arg__L_p
340,ARGtex,L-arginine transport via diffusion (extracellular to periplasm),arg__L_e <==> arg__L_p
341,ASAD,Aspartate-semialdehyde dehydrogenase,aspsa_c + nadp_c + pi_c <==> 4pasp_c + h_c + nadph_c
342,ASCBPL,L-ascorbate 6-phosphate lactonase,ascb6p_c + h2o_c <==> 3dhgulnp_c + h_c
343,ASCBtex,L-ascorbate transport via diffusion (extracellular to periplasm),ascb__L_e <==> ascb__L_p
344,ASNN,L-asparaginase,asn__L_c + h2o_c <==> asp__L_c + nh4_c
345,ASNS2,Asparagine synthetase,asp__L_c + atp_c + nh4_c <==> amp_c + asn__L_c + h_c + ppi_c
346,ASNabcpp,L-asparagine transport via ABC system (periplasm),atp_c + h2o_c + asn__L_p <==> adp_c + asn__L_c + h_c + pi_c
347,ASNt2rpp,L-asparagine reversible transport via proton symport (periplasm),asn__L_p + h_p <==> asn__L_c + h_c
348,ASNtex,L-asparagine transport via diffusion (extracellular to periplasm),asn__L_e <==> asn__L_p
349,ASPO3,L-aspartate oxidase,asp__L_c + q8_c <==> h_c + iasp_c + q8h2_c
350,ASPO4,L-aspartate oxidase,asp__L_c + mqn8_c <==> h_c + iasp_c + mql8_c
351,ASPT,L-aspartase,asp__L_c <==> fum_c + nh4_c
352,ASPTA,Aspartate transaminase,akg_c + asp__L_c <==> glu__L_c + oaa_c
353,ASPTRS,Aspartyl-tRNA synthetase,asp__L_c + atp_c + trnaasp_c <==> amp_c + asptrna_c + ppi_c
354,ASPabcpp,L-aspartate transport via ABC system (periplasm),atp_c + h2o_c + asp__L_p <==> adp_c + asp__L_c + h_c + pi_c
355,ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),asp__L_p + 2.0 h_p <==> asp__L_c + 2.0 h_c
356,ASPtex,L-aspartate transport via diffusion (extracellular to periplasm),asp__L_e <==> asp__L_p
357,AST,Arginine succinyltransferase,arg__L_c + succoa_c <==> coa_c + h_c + sucarg_c
358,ATHRDHr,L-allo-threonine dehydrogenase,athr__L_c + nadp_c <==> 2aobut_c + h_c + nadph_c
359,ATPHs,ATP amine hydrolysis (spontaneous),atp_c + h_c + h2o_c <==> itp_c + nh4_c
360,ATPM,ATP maintenance requirement,atp_c + h2o_c <==> adp_c + h_c + pi_c
361,ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),adp_c + pi_c + 4.0 h_p <==> atp_c + 3.0 h_c + h2o_c
362,BALAt2pp,Beta-alanine transport in via proton symport (periplasm),ala_B_p + h_p <==> ala_B_c + h_c
363,BETALDHx,Betaine-aldehyde dehydrogenase,betald_c + h2o_c + nad_c <==> glyb_c + 2.0 h_c + nadh_c
364,BMOCOS,Bis-molybdenum cofactor synthase,moco_c + mptamp_c <==> amp_c + bmoco_c + cu2_c
365,BUTCT,Acetyl-CoA:butyrate-CoA transferase,accoa_c + but_c <==> ac_c + btcoa_c
366,BUTSO3abcpp,Butanesulfonate transport via ABC system (periplasm),atp_c + h2o_c + butso3_p <==> adp_c + butso3_c + h_c + pi_c
367,BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",but_p + h_p <==> but_c + h_c
368,BUTtex,Butyrate transport via diffusion (extracellular to periplasm),but_e <==> but_p
369,BWCOGDS1,Tungsten bispterin guanine dinucleotide synthase (single GDP),bwco_c + gtp_c + h_c <==> bwco1gdp_c + ppi_c
370,BWCOS,Tungsten bispterin cofactor synthase,mptamp_c + wco_c <==> amp_c + bwco_c + cu2_c
371,CA2t3pp,Calcium (Ca+2) transport out via proton antiport (periplasm),ca2_c + h_p <==> h_c + ca2_p
372,CA2tex,Calcium (Ca+2) transport via diffusion (extracellular to periplasm),ca2_e <==> ca2_p
373,CBItonex,Cobinamide transport via ton system (extermal),cbi_e + h_p <==> h_c + cbi_p
374,CBIuabcpp,"Cobinamide transport via ABC system (uptake, periplasm)",atp_c + h2o_c + cbi_p <==> adp_c + cbi_c + h_c + pi_c
375,CBL1abcpp,Cob(1)alamin transport via ABC system (periplasm),atp_c + h2o_c + cbl1_p <==> adp_c + cbl1_c + h_c + pi_c
376,CBMKr,Carbamate kinase,atp_c + co2_c + nh4_c <==> adp_c + cbp_c + 2.0 h_c
377,CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c <==> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c
378,CCGS,7-cyano-7-carbaguanine synthase,atp_c + cdg_c + nh4_c <==> adp_c + h_c + h2o_c + pi_c + preq0_c
379,CD2abcpp,Cadmium (Cd+2) ABC transporter (periplasm),atp_c + cd2_c + h2o_c <==> adp_c + h_c + pi_c + cd2_p
380,CD2t3pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),cd2_c + h_p <==> h_c + cd2_p
381,CDAPPA140,CDP-Diacylglycerol pyrophostatase (n-C14:0),cdpdtdecg_c + h2o_c <==> cmp_c + 2.0 h_c + pa140_c
382,CDAPPA141,CDP-Diacylglycerol pyrophostatase (n-C14:1),cdpdtdec7eg_c + h2o_c <==> cmp_c + 2.0 h_c + pa141_c
383,CDAPPA180,CDP-Diacylglycerol pyrophostatase (n-C18:0),cdpdodecg_c + h2o_c <==> cmp_c + 2.0 h_c + pa180_c
384,CDGR,7-cyano-7-deazaguanine reductase,3.0 h_c + 2.0 nadph_c + preq0_c <==> 2.0 nadp_c + preq1_c
385,CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,4c2me_c + atp_c <==> 2p4c2me_c + adp_c + h_c
386,CFAS160E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)",2.0 amet_c + pe161_c <==> 2.0 ahcys_c + cpe160_c + 2.0 h_c
387,CFAS180E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",2.0 amet_c + pe181_c <==> 2.0 ahcys_c + cpe180_c + 2.0 h_c
388,CGLYabcpp,L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm),atp_c + h2o_c + cgly_p <==> adp_c + cgly_c + h_c + pi_c
389,CGLYtex,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),cgly_e <==> cgly_p
390,CHLt2pp,Choline transport via proton symport (periplasm),chol_p + h_p <==> chol_c + h_c
391,CHORM,Chorismate mutase,chor_c <==> pphn_c
392,CHRPL,Chorismate pyruvate lyase,chor_c <==> 4hbz_c + pyr_c
393,CHTBSptspp,Chitobiose transport via PEP:Pyr PTS (periplasm),pep_c + chtbs_p <==> chtbs6p_c + pyr_c
394,CHTBStex,Chitobiose transport via diffusion (extracellular to periplasm),chtbs_e <==> chtbs_p
395,CINNDO,Cinnamate dioxygenase,cinnm_c + h_c + nadh_c + o2_c <==> cenchddd_c + nad_c
396,CITL,Citrate lyase,cit_c <==> ac_c + oaa_c
397,CITtex,Citrate transport via diffusion (extracellular to periplasm),cit_e <==> cit_p
398,CLIPAabctex,Cold lipid A transport via ABC system (periplasm to extracellular),atp_c + h2o_c + lipa_cold_p <==> adp_c + h_c + pi_c + lipa_cold_e
399,CLPNH140pp,"Cardiolipin hydrolase (periplasm, n-C14:0)",clpn140_p + h2o_p <==> h_p + pa140_p + pg140_p
400,CLPNH160pp,"Cardiolipin hydrolase (periplasm, n-C16:0)",clpn160_p + h2o_p <==> h_p + pa160_p + pg160_p
401,CLPNH161pp,"Cardiolipin hydrolase (periplasm, n-C16:1)",clpn161_p + h2o_p <==> h_p + pa161_p + pg161_p
402,CLPNH181pp,"Cardiolipin hydrolase (periplasm, n-C18:1)",clpn181_p + h2o_p <==> h_p + pa181_p + pg181_p
403,CLPNS141pp,"Cardiolipin synthase (periplasmic, n-C14:1)",2.0 pg141_p <==> clpn141_p + glyc_p
404,CLPNS160pp,"Cardiolipin synthase (periplasmic, n-C16:0)",2.0 pg160_p <==> clpn160_p + glyc_p
405,CLPNS180pp,"Cardiolipin synthase (periplasmic, n-C18:0)",2.0 pg180_p <==> clpn180_p + glyc_p
406,CLt3_2pp,Chloride transport out via proton antiport (2:1) (periplasm),h_c + 2.0 cl_p <==> 2.0 cl_c + h_p
407,CLtex,Chloride (Cl-1) transport via diffusion (extracellular to periplasm),cl_e <==> cl_p
408,CMPN,CMP nucleosidase,cmp_c + h2o_c <==> csn_c + r5p_c
409,CO2tex,CO2 transport via diffusion (extracellular to periplasm),co2_e <==> co2_p
410,CO2tpp,CO2 transporter via diffusion (periplasm),co2_p <==> co2_c
411,COBALT2abcpp,Cobalt (Co+2) ABC transporter (periplasm),atp_c + cobalt2_c + h2o_c <==> adp_c + h_c + pi_c + cobalt2_p
412,COLIPAPabctex,Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular),atp_c + h2o_c + colipap_p <==> adp_c + h_c + pi_c + colipap_e
413,COLIPAabcpp,Core oligosaccharide lipid A transport via ABC system (periplasm),atp_c + colipa_c + h2o_c <==> adp_c + h_c + pi_c + colipa_p
414,COLIPAabctex,Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),atp_c + h2o_c + colipa_p <==> adp_c + h_c + pi_c + colipa_e
415,CPGNR1,Coprogen(Fe(III)) reductase,2.0 cpgn_c + fadh2_c <==> 2.0 cpgn_un_c + fad_c + 2.0 fe2_c + 2.0 h_c
416,CPGNR2,Coprogen(Fe(III)) reductase,2.0 cpgn_c + fmnh2_c <==> 2.0 cpgn_un_c + 2.0 fe2_c + fmn_c + 2.0 h_c
417,CPGNUtpp,Coprogen unloaded secretion,cpgn_un_c + h_p <==> h_c + cpgn_un_p
418,CPGNabcpp,Coprogen transport via ABC system (periplasm),atp_c + h2o_c + cpgn_p <==> adp_c + cpgn_c + h_c + pi_c
419,CPMPS,Cyclic pyranopterin monophosphate synthase,gtp_c + h2o_c <==> cpmp_c + ppi_c
420,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c + crn_c <==> crncoa_c + gbbtn_c
421,CRNDCAL2,D-Carnitine-CoA Ligase,atp_c + coa_c + crn__D_c <==> adp_c + crnDcoa_c + pi_c
422,CRNDabcpp,D-carnitine transport via ABC system (periplasm),atp_c + h2o_c + crn__D_p <==> adp_c + crn__D_c + h_c + pi_c
423,CRNt2rpp,L-carnitine outward transport (H+ antiport),crn_p + h_p <==> crn_c + h_c
424,CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),crn__D_c + crn_p <==> crn_c + crn__D_p
425,CRNtex,L-carnitine transport via diffusion (extracellular to periplasm),crn_e <==> crn_p
426,CS,Citrate synthase,accoa_c + h2o_c + oaa_c <==> cit_c + coa_c + h_c
427,CSND,Cytosine deaminase,csn_c + h_c + h2o_c <==> nh4_c + ura_c
428,CSNt2pp,Cytosine transport in via proton symport (periplasm),csn_p + h_p <==> csn_c + h_c
429,CTBTabcpp,Crotonobetaine transport via ABC system (periplasm),atp_c + h2o_c + ctbt_p <==> adp_c + ctbt_c + h_c + pi_c
430,CTBTt2rpp,Cronobetaine outward transport (H+ antiport),ctbt_p + h_p <==> ctbt_c + h_c
431,CTECOAI6,3-cis-2-trans-enoyl-CoA isomerase,tdecoa_c <==> td2coa_c
432,CTECOAI7,3-cis-2-trans-enoyl-CoA isomerase,hdcoa_c <==> hdd2coa_c
433,CTECOAI8,3-cis-2-trans-enoyl-CoA isomerase,odecoa_c <==> od2coa_c
434,CU1Opp,Cuprous Oxidase (Cu+1),4.0 cu_p + 4.0 h_p + o2_p <==> 4.0 cu2_p + 2.0 h2o_p
435,CU2tex,Copper (Cu+2) transport via diffusion (extracellular to periplasm),cu2_e <==> cu2_p
436,CU2tpp,Copper transport in via permease (no H+),cu2_p <==> cu2_c
437,CYANST,Cyanide sulfurtransferase,cyan_c + tsul_c <==> h_c + so3_c + tcynt_c
438,CYNTAH,Cyanate aminohydrolase,cynt_c + 3.0 h_c + hco3_c <==> 2.0 co2_c + nh4_c
439,CYNTtex,Cyanate transport via diffusion (extracellular to periplasm),cynt_e <==> cynt_p
440,CYSDabcpp,D-cysteine uptake via ABC system (periplasm),atp_c + h2o_c + cys__D_p <==> adp_c + cys__D_c + h_c + pi_c
441,CYSDtex,D-cysteine transport via diffusion (extracellular to periplasm),cys__D_e <==> cys__D_p
442,CYSTL,Cystathionine b-lyase,cyst__L_c + h2o_c <==> hcys__L_c + nh4_c + pyr_c
443,CYSTRS,Cysteinyl-tRNA synthetase,atp_c + cys__L_c + trnacys_c <==> amp_c + cystrna_c + ppi_c
444,CYSabc2pp,L-cysteine export via ABC system (cytoplasm to periplasm),atp_c + cys__L_c + h2o_c <==> adp_c + h_c + pi_c + cys__L_p
445,CYStpp,L-cysteine export via facilitated transport,cys__L_c <==> cys__L_p
446,CYTD,Cytidine deaminase,cytd_c + h_c + h2o_c <==> nh4_c + uri_c
447,CYTDt2pp,Cytidine transport in via proton symport (periplasm),cytd_p + h_p <==> cytd_c + h_c
448,D_LACt2pp,D-lactate transport via proton symport (periplasm),h_p + lac__D_p <==> h_c + lac__D_c
449,D_LACtex,D-lactate transport via diffusion (extracellular to periplasm),lac__D_e <==> lac__D_p
450,DADNt2pp,Deoxyadenosine transport in via proton symport (periplasm),dad_2_p + h_p <==> dad_2_c + h_c
451,DAGK140,Diacylglycerol kinase (n-C14:0),12dgr140_c + atp_c <==> adp_c + h_c + pa140_c
452,DAGK160,Diacylglycerol kinase (n-C16:0),12dgr160_c + atp_c <==> adp_c + h_c + pa160_c
453,DALAt2pp,D-alanine transport in via proton symport (periplasm),ala__D_p + h_p <==> ala__D_c + h_c
454,DAMPtex,DAMP transport via diffusion (extracellular to periplasm),damp_e <==> damp_p
455,DAPDC,Diaminopimelate decarboxylase,26dap__M_c + h_c <==> co2_c + lys__L_c
456,DAPabcpp,M-diaminopimelic acid ABC transport (periplasm),atp_c + h2o_c + 26dap__M_p <==> 26dap__M_c + adp_c + h_c + pi_c
457,DAPtex,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",15dap_e <==> 15dap_p
458,DASYN140,CDP-diacylglycerol synthetase (n-C14:0),ctp_c + h_c + pa140_c <==> cdpdtdecg_c + ppi_c
459,DASYN161,CDP-diacylglycerol synthetase (n-C16:1),ctp_c + h_c + pa161_c <==> cdpdhdec9eg_c + ppi_c
460,DATPHs,DATP amine hydrolysis (spontaneous),datp_c + h_c + h2o_c <==> ditp_c + nh4_c
461,DC6PH,Diacetylchitobiose-6-phosphate hydrolase,chtbs6p_c + h2o_c <==> acgam_c + acgam6p_c
462,DCAtex,Decanoate transport via diffusion (extracellular to periplasm),dca_e <==> dca_p
463,DCMPtex,DCMP transport via diffusion (extracellular to periplasm),dcmp_e <==> dcmp_p
464,DCTPD,DCTP deaminase,dctp_c + h_c + h2o_c <==> dutp_c + nh4_c
465,DCYTD,Deoxycytidine deaminase,dcyt_c + h_c + h2o_c <==> duri_c + nh4_c
466,DCYTt2pp,Deoxycytidine transport in via proton symport (periplasm),dcyt_p + h_p <==> dcyt_c + h_c
467,DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),ddca_e <==> ddca_p
468,DDGLCNt2rpp,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",2ddglcn_p + h_p <==> 2ddglcn_c + h_c
469,DDGLCNtex,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),2ddglcn_e <==> 2ddglcn_p
470,DDGLK,2-dehydro-3-deoxygluconokinase,2ddglcn_c + atp_c <==> 2ddg6p_c + adp_c + h_c
471,DGK1,Deoxyguanylate kinase (dGMP:ATP),atp_c + dgmp_c <==> adp_c + dgdp_c
472,DGMPtex,DGMP transport via diffusion (extracellular to periplasm),dgmp_e <==> dgmp_p
473,DHACOAH,"2,3-dehydroadipyl-CoA hydratase",23dhacoa_c + h2o_c <==> 3hadpcoa_c
474,DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c <==> 3mob_c + h2o_c
475,DHAtex,Dihydroxyacetone transport via diffusion (extracellular to periplasm),dha_e <==> dha_p
476,DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",23ddhb_c + nad_c <==> 23dhb_c + h_c + nadh_c
477,DHCIND,"2,3-dihydroxycinnamate dehydrogenase",cenchddd_c + nad_c <==> dhcinnm_c + h_c + nadh_c
478,DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",dhcinnm_c + o2_c <==> h_c + hkntd_c
479,DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <==> nadp_c + thf_c
480,DHFS,Dihydrofolate synthase,atp_c + dhpt_c + glu__L_c <==> adp_c + dhf_c + h_c + pi_c
481,DHNAOT4,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",dhna_c + h_c + octdp_c <==> 2dmmql8_c + co2_c + ppi_c
482,DHNCOAT,"1,4-dihydroxy-2-napthoyl-CoA thioesterase",14dhncoa_c + h2o_c <==> coa_c + dhna_c + h_c
483,DHNPTE,Dihydroneopterin epimerase,dhnpt_c <==> dhmpt_c
484,DHORD2,Dihydoorotic acid dehydrogenase (quinone8),dhor__S_c + q8_c <==> orot_c + q8h2_c
485,DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),25drapp_c + h_c + h2o_c <==> 5apru_c + nh4_c
486,DHPTDNR,Dihydropteridine reductase,dhptdn_c + 3.0 h_c + nadph_c <==> nadp_c + thptdn_c
487,DHPTPE,Dihydroneopterin triphosphate 2'-epimerase,ahdt_c <==> dhmptp_c
488,DHQS,3-dehydroquinate synthase,2dda7p_c <==> 3dhq_c + pi_c
489,DKGLCNR1,"2,5-diketo-D-gluconate reductase",25dkglcn_c + h_c + nadph_c <==> 2dhguln_c + nadp_c
490,DKGLCNR2x,"2,5-diketo-D-gluconate reductase (NADH)",25dkglcn_c + h_c + nadh_c <==> 5dglcn_c + nad_c
491,DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",25dkglcn_c + h_c + nadph_c <==> 5dglcn_c + nadp_c
492,DMATT,Dimethylallyltranstransferase,dmpp_c + ipdp_c <==> grdp_c + ppi_c
493,DMSOR1,Dimethyl sulfoxide reductase (Menaquinol 8),dmso_c + mql8_c <==> dms_c + h2o_c + mqn8_c
494,DMSOR1pp,Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm),mql8_c + dmso_p <==> mqn8_c + dms_p + h2o_p
495,DMSOR2,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),2dmmql8_c + dmso_c <==> 2dmmq8_c + dms_c + h2o_c
496,DMSOR2pp,Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm),2dmmql8_c + dmso_p <==> 2dmmq8_c + dms_p + h2o_p
497,DMSOtex,Dimethyl sulfoxide transport via diffusion (extracellular to periplasm),dmso_e <==> dmso_p
498,DOXRBCNtpp,Doxorubicin transport via TolC system,doxrbcn_p + h_p <==> h_c + doxrbcn_e
499,DPR,2-dehydropantoate 2-reductase,2dhp_c + h_c + nadph_c <==> nadp_c + pant__R_c
500,DSBAO1,DsbA protein reoxidation reaction (aerobic),q8_c + dsbard_p <==> q8h2_c + dsbaox_p
501,DSBAO2,DsbA protein reoxidation reaction (anaerobic),mqn8_c + dsbard_p <==> mql8_c + dsbaox_p
502,DSBGGT,DsbG:glutathione thiotransferase,dsbgox_p + 2.0 gthrd_p <==> dsbgrd_p + gthox_p
503,DSERDHr,D-serine dehydrogenase,nadp_c + ser__D_c <==> 2amsa_c + h_c + nadph_c
504,DTMPK,DTMP kinase,atp_c + dtmp_c <==> adp_c + dtdp_c
505,DTMPtex,DTMP transport via diffusion (extracellular to periplasm),dtmp_e <==> dtmp_p
506,DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),atp_c + duri_c <==> adp_c + dump_c + h_c
507,DURIt2pp,Deoxyuridine transport in via proton symport (periplasm),duri_p + h_p <==> duri_c + h_c
508,DURItex,Deoxyuridine transport via diffusion (extracellular to periplasm),duri_e <==> duri_p
509,DUTPDP,DUTP diphosphatase,dutp_c + h2o_c <==> dump_c + h_c + ppi_c
510,DXPRIi,1-deoxy-D-xylulose reductoisomerase,dxyl5p_c + h_c + nadph_c <==> 2me4p_c + nadp_c
